ruwana wichqay	cerrar sesión		2_76365
Sumaq umayuq Llamk’ana Pampa	Centro de inteligencia empresarial		31681_1612562
llamkaqmanta rantiy	compra desde la aplicación		31689_1612739
mana huntasqa willana	notificación sin procesar		31698_1612764
Office Telemetry Churasqa	Registro de telemetría de Office		31740_1707155
Runakuna	Contactos		31741_1618210
rikchay kichana	contraseña de imagen		31752_1618539
winay	acoplar		31776_1621224
Llumpaypa Ruwaynin	Acciones		31783_1623953
Utqhayta Yuyarichiq	Aviso de datos adjuntos		31784_1623954
willayta tikray	indicación de cambios		31786_1623956
imakunamanta tawak'uchu	elemento de gráfico		31787_1623957
willaymanta willaynin	indicador de comentarios		31788_1623958
Willaykunamanta raphi	panel Comentarios		31789_1623959
Willayninpa tawa'kuchu	Cuadrícula de datos		31793_1623963
JavaScript API Officepaq	API de Javascript para Office		31799_1624313
kawsay siqi	distribución dinámica		31801_1624315
Wisk’asqa ñan	Bloquear seguimiento		31802_1624316
kamachiq pusaq ñiqi	guía de los patrones		31803_1624317
riqsichiy pusaq ñiqi	guía de la presentación		31804_1624318
ñawiriy rimayniyuq	marcador de lectura		31805_1624319
ñawiriy tarikuynin rimayniyuq	marcador de posición de lectura		31805_1624320
siqina pusaq qillqana	marcador de guía de regla		31806_1624321
Tumpalla Markup Qhaway	vista Revisión sencilla		31816_1624331
Taqwiriq Kuqmu	Barra de navegación		31818_1624333
Tinkunasqa Video	Video en línea		31820_1624336
Simimasikuna raphi	panel Sinónimos		31821_1624337
trend rikch'ay	gráfico de tendencias		31822_1624338
Aswan runakuna munasqa	Favoritos		31826_1624394
Tinkunasqa Riqsichiy	Presentar en línea		31828_1624396
bateria waqaychaq	ahorro de batería		31838_2144272
camara taqi	álbum de la cámara		31842_1624433
apaykachana willakuy	datos celulares		31844_1624435
rantiqpaq yanapakuy	atención al cliente		31848_1802885
yanapakuy	soporte		31848_1834084
Office Telemetria Purimuq	Agente de telemetría de Office		31856_1707159
Microsoft Kawsaq Harkana Yanapakuy	Microsoft Active Protection Service		31865_1624501
Pantasqakunallapi Allichay	Tratamiento de errores en áreas puntuales		31876_1624521
Allichaqpuni	Reparador puntual		31877_1624522
Winay	Acoplar		31878_1624523
chiqanchanapaq willay	guía de alineación		31893_1626604
killakunamanta rikch'ay	gráfico de ciclo		31894_1626605
Vertipaq	Vertipaq		31895_1626606
Rikchaykunata T'inkiy	Combinar formas		31897_1626608
Usqay Qhawana	Análisis rápido		31898_1626609
Ñawiriy p’achachiq	modo Lectura		31899_1626610
tupusqa llika hapina	red de uso medido		31902_1626834
qallariymanta riqsisqa CA	CA raíz de confianza		31909_1627812
qallariymanta riqsisqa CA qukuq	entidad de certificación raíz de confianza		31909_1627810
Ruwakuq Rikusqaña	Eventos detectados		31910_1628156
Pachap siqin	Escala de tiempo		31912_1628160
qallariypi aswan qawapayaq	controlador de arranque de inicio temprano		31933_1628713
Upyanakuna & Mikhunakuna	Bebidas y comidas		31949_2114174
Aswan riqsisqa	Notables		31953_1628751
tupanachiq	enlace		31969_1629242
tariypa yanapayninkuna	servicios de ubicación		31972_1629245
ñawpaq qallariy	prearranque		31994_1630220
tweetpayay	retwittear		32023_1631143
llamkay qallariy	información de inicio de sesión		32033_1631176
uyarina rikchaynin	estilo de audio		32044_1632095
Kasqanwasi rikchayninkunamanta muyuynin	galería Estilos de borde		32045_1632096
Willaypa siqi	distribución de datos		32048_1632099
imatapas allin ruway	distribución de objetos		32055_1632106
Kutichiy Ñawiriy	Reanudar lectura		32056_1632107
juch'uy pixel tiyasqan	posicionamiento de subpíxeles		32057_1632108
qhapaq XML saywasiq'ip willaynin	asignación XML de texto enriquecido		32061_1632111
postmaster@mail.hotmail.com	postmaster@mail.hotmail.com		32074_1634273
postmaster@windowslivemail.com	postmaster@windowslivemail.com		32074_1634274
llapa llikakuna	social		32079_1634279
Microsoft Hotmail	Microsoft Hotmail		32083_1635730
Hotmail	Hotmail		32083_1667490
hatuchaq	destacados		32084_1636170
hapinallapaq	funcionalidad		32099_1636228
imatapas hatunyachiq, huchuyachiq	zoom de objetos		32110_1636414
qayllalla tikraypi sapkinchakusqa	conversión de secuencias		32115_1636418
Allinqillqana raphi	panel Ortografía		32116_1636419
Runasimip ukhun raphi	panel Gramática		32119_1636427
Qallariy	Inicio		32121_1636436
qhawanata Qallariy	pantalla Inicio		32121_1636433
qallarina rapi	página de inicio		32121_2803698
qhawarichiykuna	recomendaciones		32122_1636454
Qhawarisqa Rikch’aykuna	Gráficos recomendados		32123_1636476
Qhawarisqa PivotTables	Tablas dinámicas recomendadas		32124_1636479
lluqsiyllapuni	redistribución		32125_1636482
lluqsiyllapuni	redistribuir		32126_1636485
Webpi mask'ay	Buscar en Internet		32127_1636489
uraykachiy	descarga		32130_1636617
chiqaqchay	validación		32131_1636624
chiqaqchay	verificación		32132_1636625
rakiypa winasqap patachayta Kutipallachkan	control de contenido para repetición de secciones		32147_1637180
qayaq qillqa	globo		32149_1637184
Riqsichiy	Definir		32152_1637188
kusichiqninta kawsarichiy	animación de actualización		32155_1637191
tumpallasqa mañanakuy	uso compartido simplificado		32157_1637193
PDF lluqsiyllapuni	redistribución de PDF		32160_1637588
Kanchasqa menu	menú circular		32164_1637809
riqsichiykuna jawa waqyana	globo de definiciones		32168_1637813
Qunakuy yaykuna	acceso a Compartir		32183_1638272
Maskay yaykuna	acceso a Buscar		32184_1638273
Dispositivokuna yaykuna	acceso a Dispositivos		32185_1638274
Tupachiy yaykuna	acceso a Configuración		32186_1638275
patan	borde		32212_1638657
apachiy	enviar		32213_1638658
Llimp’ichap Muyuynin	Copiar borde		32219_1641030
Waq Muyuninwan	Copiar formato de borde		32220_1641031
Utqhay huntasqa	Relleno rápido		32223_1641035
Microsoft Office Ruwanakuna Qhawarispa	Herramientas de corrección de Microsoft Office		32224_1641036
Office Mañakusqanman hina	Office a petición		32226_1641038
Imayna pachap Kuqmun	Barra de meteorología		32232_1641044
intiwatana kamanninmanta qhawariq	información de elemento de calendario		32261_1644639
Intiwatana qhawariq	información del Calendario		32262_1644650
Ruwana qhaway	información de Tareas		32263_1644654
Yupana	Cuenta		32264_1707462
Utqhay Yaykunata Tikray	Acceso rápido a Exchange		32267_1644678
Yupayniy	Mi cuenta		32268_1644693
Office Uyanpaq Uyanpaq	Office en paralelo		32269_1644697
Sumaq Jallich’anata Jallich’akuy	Almacenamiento eficiente de archivos		32272_1645772
Office tupanap jallich’ana niynin	archivo de definición de compatibilidad de Office		32276_1645779
Office Telemetry Dashboard	Panel de telemetría de Office		32290_1707154
llapan llankastin qhawanapaq kikllu	galería de vistas interactivas		32311_1649249
Runakunap qhawanan	información de Contactos		32312_1649250
wankisqa	envolvente		32314_1649266
Windows Willakuy Llamkanakuna	Aplicaciones para comunicación de Windows		32325_1653046
khipukuna kichanamanta yuyapuynin	clave de cifrado secundaria		32330_1653075
kuyukuqp’isqu	valor controlado dinámico		32331_1653078
qichpalla	proximidad		32367_1666384
Chiqaqchay waqaychana	Caja de seguridad de credenciales		32395_1667479
kutichiy	responder		32397_1667525
Jallich’ana raphi	Panel de carpetas		32398_1672123
Chaylla ima ruwaykunapas	Lista de accesos directos		32399_1672771
chaylla ima ruwaykunapas	lista de accesos directos		32399_2145328
video correo	videocorreo		32403_1673106
video willakuy	videomensaje		32403_1673107
rikchay takyachiy	estabilización de imagen		32405_1674922
takyachiy	estabilización		32405_1673865
Live	Live		32406_1673920
pantalla harkaq	pantalla de bloqueo		32432_1678824
Mail Migration huntapaqnin	complemento Mail Migration		32434_1679570
rikchay kuyunanmanta allichay	correción de oscilación de imagen		32435_1679576
mana kuyunanpaq	antivibración		32436_1679577
rikch'ayninkuna mana kuyunanpaq	característica antivibración		32436_1805606
Internet Explorer 10	Internet Explorer 10		32472_1681353
Chawpi qallariy	Arranque medido		32556_1686879
Usqay Yuyachiqkuna	Notas rápidas		32564_1688692
Huñusqa Huchuy willaykuna	Notas sin archivar		32564_1688917
Tupay chaymanta ruway	Tocar y hacer		32654_1689612
Kawsachiy/wañuchiy	inicio/apagado		32688_1690726
Office Telemetry Ruwaq	Procesador de telemetría de Office		32734_1707158
Yaykunamanta kutikuy	Defensor de accesibilidad		32735_1696274
hapiy	acceder		32747_1698384
kacharichiy	desvincular		32805_1703968
Office telemetry churachkan	Registro de telemetría de Office		32861_1707459
k'achanchayniyuq huñu	conjunto de estilos		32862_1707461
Windows RT	Windows RT		32869_1707640
muyuq harkay ñitina	botón de bloqueo de rotación		32878_1709112
Power View	Power View		32888_1713387
Aswan allin qawapana	Examen proactivo		32895_1713527
tarikuyninpa aswan hatalliynin ruwapay	reintento de adquisición agresiva de dirección		32896_1713528
Chawpi riqsichiypa yanapakuynin	servicio de Publicación central		32897_1713529
PIN nisqawan llamkay qallariy	inicio de sesión con PIN		32899_1713532
muyuq harkay	bloqueo de rotación		32900_1713533
Modelo Phuyup Ruwaynin	Modelo de aplicación de nube		32909_1718122
wan Kichay	Abrir con		32925_1718267
qawapayaypa willaynin	datos de diagnóstico		32930_2790091
Macpaq OneDrive	OneDrive para Mac		32994_2027122
Sapanmanta chhikanllachiq	Extensión automática		32995_1736382
Haywanaku Qhawachiykuna	Cambiar de pantalla		32996_1736384
A/V Edge qarakuq	Servidor perimetral A/V		33075_1749609
foto qawachina	mix de fotos		33083_1754526
llamkana kamachiq	comando de la aplicación		33084_1755584
Qallariy yaykuna	acceso a Inicio		33085_1755674
llamkana tikray	cambio de aplicación		33087_1755689
suyana tinkichisqa	modo de espera conectado		33088_1755690
PC tupachiy	configuración de PC		33089_1755691
Windows ñitina	botón Windows		33091_1755693
mana allin sunquyuq munachiy	publicidad malintencionada		33092_1755782
mana allin sunquyuq munachiy	publicidad malintencionada		33092_1755783
yomi	yomi		33105_1758865
Tuparayay	Tocar y mantener presionado		33106_1759158
Dispositivokuna	Dispositivos		33109_1759220
qapariy kamachiq ñitina	botón de control de volumen		33111_1759222
Huknin qawana	Segunda pantalla		33112_1759223
Get Genuine Windows	Get Genuine Windows		33118_1761200
computadora ruwaymanta willakuy	informe de ensamblaje del equipo		33147_1762377
CBR	CBR		33147_1762379
RTM	RTM		33272_1764210
RTM niraq	versión RTM		33272_1764519
computadorayki allichay	restaurar tu PC		33276_1764505
computadorayki kawsarichiy	restablecer tu PC		33278_1764509
Rantiy tukuna	Finalizar la compra		33288_1764988
Dispositivo harkay	Cifrado de dispositivo		33298_1765238
SafeSearch	Búsqueda segura		33306_1766385
ranti	oferta		33329_1769455
wakichana	plan		33329_2634908
Dispositivopaq Microsoft Store llamkana	aplicación para dispositivo de Microsoft Store		33386_1776723
Microsoft pallay siqina simi	lenguaje de diseño Microsoft		33387_1776725
rimaykuna	comentarios		33428_1778978
Microsoftpa Harkaq & Harkasqapas Chawpin	Centro de seguridad y protección de Microsoft		33442_1779260
Microsoftpa Harkaq, Harkasqapas Chawpin	Centro de seguridad y protección de Microsoft		33442_1779261
OneDrive.com	OneDrive.com		33455_2027116
kamachina yanapaykuna	sugerencia de directiva		33522_1791370
Prevención Chinkachisqa Willaynimanta	prevención de pérdida de datos		33560_1795065
DLP	DLP		33560_2626811
Allin chaninchasqa	Con mejor calificación		33566_1802639
Allin chaninchasqa llamkanakuna	Aplicaciones con mejor calificación		33566_2312660
Allin chaninchasqa pukllaykuna	Juegos con mejor calificación		33566_2312661
willaypa apaykachay	Uso de datos		33570_2164314
Yaykuypa yupaynin	número de acceso		33583_1803517
Yanapay, Kunaykunapas	Ayuda+consejos		33585_1803519
Skype To Go Yupay	número de Skype To Go		33586_1803521
masip huñuqnin	afiliado		33602_1803757
Masip huñuqninpaq Programa	programa de afiliados		33603_1803758
Aswan musuq	Nuevas versiones		33604_1803759
Musuqkuna	Novedades más populares		33605_2312657
Musuq riqsisqa llamkanakuna	Aplicaciones más recientes		33605_2312658
Musuq riqsisqa pukllaykuna	Juegos más recientes		33605_2312659
Rikchakuykuna	Tendencias		33605_1984491
Chiqan Apaykachay Kamachina	Política de uso razonable		33610_1803834
Skype Mañakuyta Rantiy	Comprar crédito de Skype		33611_1805602
Skype Mañakuy	crédito de Skype		33612_1805603
Skype yupay	cuenta de Skype		33613_1805604
yupay	cuenta		33613_1805605
kikillan qullqi q'ipichaypaq	recarga automática		33614_1805607
kikillan qullqi q'ipichakuy	recarga automática		33614_1805608
kikillan yupaytawan chimpuy	rellamada automática		33615_1805609
Mana kaypichu	Ausente		33616_1805610
Churana	Almacenamiento		33617_2259504
watachay p'unchawta willakuq	recordatorio de cumpleaños		33618_1805612
Qampaq akllaykuna	Sugerencia		33621_1805615
mana kuyuq telefonokuna	teléfono fijo		33623_1805617
kunan qatipana	streaming en vivo		33624_1805618
aqya willakuy	mensaje personal		33625_1805619
aqya willakuy qata	panel de mensaje personal		33626_1805620
kunan rimanakuy rantiq yanapaqwan	atención al cliente por chat		33627_1805621
Skype Suti	usuario de Skype		33628_1805623
Premium yupay	cuenta Premium		33629_1805626
llamp'u kantu	borde suave		33633_1805631
churaq	instalador		33640_1805809
chayllapacha willakunamanta huñu	chat grupal		33642_1805813
pantallap huñunta qunakunapaq	pantalla compartida grupal		33643_1805814
huñup video qayanan	videollamada grupal		33644_1859273
videomanta huñu	videollamada grupal		33644_1805815
Tuqpiy chaymanta apachiy	Tocar y enviar		33649_1971642
Mana qullqipaq qullanakuna	Más populares gratis		33652_1805884
Aswan qhasi llamkanakuna	Aplicaciones más populares gratis		33652_2114160
Aswan riqsisqa qhasi pukllaykuna	Juegos más populares gratis		33652_2114161
Aswan payllasqa llamkanakuna	Aplicaciones más populares con pago		33653_2114162
Aswan payllasqa pukllaykuna	Juegos más populares con pago		33653_2114163
Qullqipaq qullanakuna	Más populares con pago		33653_1805888
Groove	Groove		33659_2281660
Microsoft Groove	Microsoft Groove		33659_2283345
suchuchiy	desplazarse		33697_1808999
telefonokuna qayaypaq	llamadas a teléfonos		33700_1809907
video waqaychana	almacenamiento de videos		33701_1809933
Q'apinapa Kamachiykuna	Condiciones de Uso		33702_1810821
Skype WiFi	Skype WiFi		33703_1810823
Skype cupon	vale de Skype		33707_1810831
Skypemanta-Skypeman qayana	llamada entre usuarios de Skype		33708_1811255
qayana apaqpaq	canal de llamadas		33711_1814023
apaq	canal		33711_1814024
Skype Connect	Skype Connect		33712_1814027
Chiqan Yupallata Chimpuy	número de marcación directa		33713_1814225
tupaqmasimanta mañakuy	solicitud de contacto		33714_1814228
qayaymanta huñu	Llamada grupal		33716_1814230
Allin ch'uwa rikukuynin Video	video de alta calidad		33717_1814244
Mana rikukuq	Invisible		33718_1814245
Mana t'inkisqa	Sin conexión		33720_1814248
T'inkisqa	En línea		33721_1814249
Skype Yupay	número de Skype		33722_1814262
Skype masi	socio de Skype		33723_1814251
imayna kasqan hunt'achiy	paga cuando hables		33724_1814252
sapa killa hunt'achiy	paga mensualmente		33725_1814253
fotokunata qunakuy	compartir fotos		33726_1814254
tukuywan rimanakuy	chat público		33727_1814255
kikillanmanta willakamuq tukuypaq	mensajería instantánea pública		33727_1814256
Skype qayana	llamada de Skype		33728_1814257
Skype Qayanapaq Clic ruway	llamadas de Skype con un solo clic		33729_1814258
Skype Qallariy	Inicio de Skype		33730_1814259
Skype Manager	Skype Manager		33731_1814260
Skype willakuykuna	mensajería de Skype		33732_1814261
utqay foto	instantánea		33733_1814264
video utqay foto	instantánea de video		33733_1814263
kunan uyarina	sonido real		33734_1814266
TV camara	cámara para TV		33735_1814267
qayanakuna mana tukuyniyuq	llamadas ilimitadas		33736_1814672
Mana harkasqa	sin límites		33737_1814673
video qayana	videollamada		33738_1814780
tiknu	logro		33757_1817022
USL	USL		33760_2667499
user subscription license	licencia de suscripción de usuario		33760_2667498
nonce	nonce		33764_1820753
qawana ñawinchaq	lector de pantalla		33765_1821340
yanapakuy tecnologia	tecnología de asistencia		33766_1821342
quy	asignar		33770_1834067
uyarinapaq qayakuy	llamada de audio		33771_1834068
qayana watiqmanta apachiy	desvío de llamadas		33772_1834069
willarina	historial		33773_1834071
hap'isqa kipu	recibir archivo		33774_1834072
kipukunata apachiy	enviar archivo		33775_1834073
tupaqmasita apachiy	enviar contacto		33776_1834076
SMS kaqta apachiy	enviar SMS		33777_1834077
qillqa willakuyta apachiy	enviar mensaje de texto		33777_1834079
qillqata apachiy	enviar mensaje de texto		33777_1834078
pantalla qunakuy	pantalla compartida		33778_1834080
qayanamanta apachiynin	transferir llamada		33780_1834085
rima qayana	llamada de voz		33781_1834086
video willakuy	mensaje de video		33798_1859274
Skype Premium	Skype Premium		33800_1859385
Premium	Premium		33800_1859387
Imayna kasqan Hunt'achiy	Paga y habla		33807_1860065
Store	Store		33812_2582509
Microsoft Store	Microsoft Store		33812_1889664
2 hukllapi	2 en 1		33872_2015172
wakichasqa waqaychana	plan de almacenamiento		33875_1936994
Mana Qatiq	No rastrear		33876_1937172
chiqaqchana web kiti	portal cautivo		33878_1937194
kallpachaqpa kawsaynin	duración de la batería		33880_1939161
ruwarinapa sayaynin	nivel de actividad		33881_1939162
iskay ichiy chiqaqchay	verificación en dos pasos		33884_1939265
Windows Escaner	Escáner de Windows		33908_1961690
Escaner	Escáner		33908_1950599
