PERÚ SUYU HATUN KAMAY PIRWA	CONSTITUCIÓN POLÍTICA DEL PERÚ
Mosoq Rimana Wasi huñuyninpi atinmi Hach’awanqo Kunawata p’enqachiyta utaq sinchichaynin qechuyta, ichaqa Hach’awanqo Kunawa kamachiqnin Rimana Wasipi rimasqan qhepa	Reunido el nuevo Congreso, puede censurar al Consejo de Ministros, o negarle la cuestión de confianza, después de que el Presidente del Consejo haya expuesto ante el Congreso los actos del Poder Ejecutivo durante el interregno parlamentario
Kay tapukuypi suyu hatun kamayuqmi huch’uy kamachiy qayllanpi kamachin, chay ruwaymantataq pasaq huñusqaman willan allinta rikuspa Rimana Wasiman chayananpaq, llank’ayman haykuqtin pacha	En ese interregno, el Poder Ejecutivo legisla mediante decretos de urgencia, de los que da cuenta a la Comisión Permanente para que los examine y los eleve al Congreso, una vez que éste se instale
Hatun Rimana Wasiqpa Llank’ayninta Kutichipuy	Restitución de facultades del Congreso disuelto
Sichus Ch’ijllukuy mana ruwakunmanchu kausay p’unchaypi churasqapi chayqa, qolluchisqa Rimana Wasin huñuchun llapa allaukanwan, hinaspa yapamanta qallarin ruwayninta, wijch’un mosoq Hach’awanqo Kunawata	Si las elecciones no se efectúan dentro del plazo señalado, el Congreso disuelto se reúne de pleno derecho, recobra sus facultades, y destituye al Consejo de Ministros
Manan mayqen horqosqa hach’awanqopas atinchu kamayoq kayta kamachiy tukukunan kama	Ninguno de los miembros de éste puede ser nombrado nuevamente ministro durante el resto del período presidencial
Rimana Wasi hinapi ajllasqaqa churanakunmi mauk’a kaqman, chaypin kashiallantaq pasaq huñunakuy, hinaspapas llapa kamachiyta tukupan	El Congreso extraordinariamente así elegido sustituye al anterior, incluida la Comisión Permanente, y completa el período constitucional del Congreso disuelto
Sapaqchasqa kamachikuymanta	Régimen de excepción
Sapanchasqa kamachi	Estados de excepción
Osqay Suyumanta Rikuypaq hinaspa Kikin suyu sayasqa	Estado de Emergencia y Estado de Sitio
Suyu umalliqqa, llapan Hach’awanqokunawan kamachinakuspa, allin t’ufsiytaqa mit’allapi, llapan suyunchispaq utaq wakillapaqpas, kamachikunami decreto nisqa huch’uy kamachiyta, ichaqa chay ruwaymmantaqa willakunan Rimana Wasiman utaq willay llank’aq Comisión nisqamanpas, kay kamachipin ruwayta atinman	El Presidente de la República, con acuerdo del Consejo de Ministros, puede decretar, por plazo determinado, en todo el territorio nacional, o en parte de él, y dando cuenta al Congreso o a la Comisión Permanente, los estados de excepción que en este artículo se contemplan
Emergencia nisqa phaku phaku kaypi suyuqa, llaqtaqpa thaq kaynin thullmiqtin, hinallataq allin kausay ch’arwikuqtin, ima hoqarikuypas kaqtin, suyunchispa utaq ayllunchispa allin kausayninwan mana allin kaqtin. Kay kaqtinqa atinmi qechuita Hatun Kamay Pirwaq rantinkasqan, kaykunawan tupaqta, qespiyta, runa waqaychakuyninta, wasin mana ayusqa kayninta, huñunakuypaq qespiyta, suyunchis ukhupi qespisqa purinanchistapas, 2 ñeqe 9, 11 hinaspa 12 t’aqaman hinallataq 24 apartado f kasqan t’aqapi nisqamanpas	Estado de emergencia, en caso de perturbación de la paz o del orden interno, de catástrofe o de graves circunstancias que afecten la vida de la Nación. En esta eventualidad, puede restringirse o suspenderse el ejercicio de los derechos constitucionales relativos a la libertad y la seguridad personales, la inviolabilidad del domicilio, y la libertad de reunión y de tránsito en el territorio comprendidos en los incisos 9, 11 y 12 del artículo 2 y en el inciso 24, apartado f del mismo artículo
Manan hayk’aqpas pitapas wanananpaq suyunmanta qarqosqa kanamachu	En ninguna circunstancia se puede desterrar a nadie
Hayk’a kausayninchispin chay emergencia nisqa kayninqa manan soqta chunka p’unchay aswanqa kamanchu	El plazo del estado de emergencia no excede de sesenta días
Yamapunanpaqtaqmi hoq decreto nisqa kamachiypi kanan	Su prórroga requiere nuevo decreto
Chay estado de emergencia nisqapiqa Pallpa Kamayoq llank’aqkunan churakunku llapan allin suyu kausaynin purinanpaq hinaptan Hatun Suyu Umalliq kamachin	En estado de emergencia las Fuerzas Armadas asumen el control del orden interno si así lo dispone el Presidente de la República
Estado de sitio nisqapi, hoq suyumanta runakuna suyunchisman winayakamun chayqa, mayqen runaq rantinkay allauka manan tatinmanchu nitaq qechusqachu chayta reqsichikuspa	Estado de sitio, en caso de invasión, guerra exterior, guerra civil, o peligro inminente de que se produzcan, con mención de los derechos fundamentales cuyo ejercicio no se restringe o suspende
Manan tawa chunka pisqayoq aswan p’unchayqa kanmanchu chay estado de sitio nisqaqa	El plazo correspondiente no excede de cuarenta y cinco días
Estado de sitio nisqa kamachikuypiqa, Rimana Wasin hunt’asqa allaukanwanmi huñunakun	Al decretarse el estado de sitio, el Congreso se reúne de pleno derecho
Sichus aswan p’unchaykunaman mast’arikuyta munaman chayqa Rimana Wasiq siminmanta ruwakunan	La prórroga requiere aprobación del Congreso
Paqtachay Kallpanmanta	Poder Judicial
Control difuso	Administración de Justicia
Control difuso nisqa rikuymanta	Paqtachay Hayway
Paqtachakuy kallpaqa llaqtamantapuni paqarin hint’akuntaqmi Paqtachay wasikunapi ima hoq nisqalla kuraqmanta, sullk’ankama Hatun Kamay Pirwaman hinaspa kamachikunaman hina	La potestad de administrar justicia emana del pueblo y se ejerce por el Poder Judicial a través de sus órganos jerárquicos con arreglo a la Constitución y a las leyes
Llapa paqtay ruwaypi hoq mana Kamay pirwaman kamachiy kaqtinqa, Paqtay Kamayoq Hatun Kamay Pirwamanmi paqtachayninpaq churan	En todo proceso, de existir incompatibilidad entre una norma constitucional y una norma legal, los jueces prefieren la primera
Hinallaytaqmi, kikin kamachitan kasunku hoq aswan huch’uy kamachimantaqa	Igualmente, prefieren la norma legal sobre toda otra norma de rango inferior
Paqtachay Wasipi aswan ruwaykuna	Principios de la Administración de Justicia
Paqtachakuy kallpawan ruwayninmi	Son principios y derechos de la función jurisdiccional
Hoqlla kayninpi paylla kamachi hunt’achiy. Manan kanchu nitaqmi kamanmanchu hoq sapaq paqtachakuqta, ichaqa t’aqaspa wallakunaq hinaspa arbitral nisqa kamaytaqa	La unidad y exclusividad de la función jurisdicciona
Manan paqtachayta imayna kausaypipas hoq ruwananpaq mink’asqa kanmanchu.Ichaqa militar hinaspa arbitral nisqataqmi sapanchasqa kanku	No existe ni puede establecerse jurisdicción alguna independiente, con excepción de la militar y la arbitral
Manan paqtachayta mayqen mana chey llank’ay atiq runaqa atinchu ruwayta	No hay proceso judicial por comisión o delegación
Paqtachayqa mana pimanta muchuqmi	La independencia en el ejercicio de la función jurisdiccional
Manan mayqen kamachiqpas challpukunmanchu nitaq tatichinmanchu	Ninguna autoridad puede avocarse a causas pendientes ante el órgano jurisdiccional ni interferir en el ejercicio de sus funcione
Manan paqtachay tukusqaqa yapamanta qoqahirunmanñachu, nitaq ruwakushuiaqtañapas sayachikunmanchu, nitaq kamachiyninta muyuchikunmanchu, nitaq sukhayachikunmanchu hunt’akuyninta	Tampoco puede dejar sin efecto resoluciones que han pasado en autoridad de cosa juzgada, ni cortar procedimientos en trámite, ni modificar sentencias ni retardar su ejecución
Kay kamachiykunaqa manan añaychakuy allaukawanqa tanqanakunchu	Estas disposiciones no afectan el derecho de gracia ni la facultad de investigación del Congreso, cuyo ejercicio no debe, sin embargo, interferir en el procedimiento jurisdiccional ni surte efecto jurisdiccional alguno
Paqtachay ruwayni allin ruway kamachiykunaman hina	La observancia del debido proceso y la tutela jurisdiccional
Manan pipas kamachiyman hina Paqtachay Wasimanta laqochisqa kanmanchu, nitaq hoq neray paqtachayman churasqa kanmanchu, nitaq mana huchan paqtachasqapaq paqtachay wasi kaqtin, imayna sitichasqa kaqtinpas	Ninguna persona puede ser desviada de la jurisdicción predeterminada por la ley, ni sometida a procedimiento distinto de los previamente establecidos, ni juzgada por órganos jurisdiccionales de excepción ni por comisiones especiales creadas al efecto, cualquiera sea su denominación
Paqtachakuykunaqa ruwakunan llapa runaq qayllanpin kamachiyman hina	La publicidad en los procesos, salvo disposición contraria de la ley
Llaqta kamayoqj huchaq paqtachayqa, utaq willakuy mast’ariypi huchakunaqa Hatun kamay pirwaman hinan llapa runaq qayllanpi ruwakunan	Los procesos judiciales por responsabilidad de funcionarios públicos, y por los delitos cometidos por medio de la prensa y los que se refieren a derechos fundamentales garantizados por la Constitución, son siempre públicos
Paqtachay imayna kaynintaqa qelqapinpunin churakunan, ichaqa huch’uy kamachichakunaqa manan qelqapichu churakun, ichataqmi chay churasqapiqa ima Karachi qelqa nisqantan churakunan	La motivación escrita de las resoluciones judiciales en todas las instancias, excepto los decretos de mero trámite, con mención expresa de la ley aplicable y de los fundamentos de hecho en que se sustentan
Askha sayaqnikunayoqmi paqtachaypi kamachikunaqa sutinmi instancias nisqa	La pluralidad de la instancia
Chaninchayqa kamachiyman hinapuni, sichus mana huchawoq runa hap’isqa kanaman cheyqa chaninchasqan kanan, kayqa manan panpachanchu mana allin paqtachay kamachikuqpa	La indemnización, en la forma que determine la ley, por los errores judiciales en los procesos penales y por las detenciones arbitrarias, sin perjuicio de la responsabilidad a que hubiere lugar
Apusimi sichus mana allin kayninqa manan paqtachakuyqata tatichinmanchu	El principio de no dejar de administrar justicia por vacío o deficiencia de la ley
Hina rikukuqtinqa hunt’achikunan allaukayoq teqsi kamachiykunawan, astawanqa suyunchis ukhupi samayosqanwan	En tal caso, deben aplicarse los principios generales del derecho y el derecho consuetudinario
Riqch’akuy kamachikunawan manan hunt’achikuna tikachu llakichikuq utaq huchalliq apisimiqa	El principio de inaplicabilidad por analogía de la ley penal y de las normas que restrinjan derechos
Manan pipas atinchu mana paqtachaykuywanqa huchallisqa nitaq llakichisqa kanamanchu	El principio de no ser penado sin proceso judicial
Ima apusimi iskayaypipas, llakischisqa kaqpaq utaq huchallisqapaqpas payman sayapakuqtan hunt’achinan	La aplicación de la ley más favorable al procesado en caso de duda o de conflicto entre leyes penales
Mana pipas paqtachasqa kanmanchu sichus manan qayllanpiqa	El principio de no ser condenado en ausencia
Manan tukusqa paqtachasqaqa hoqmanta kausarichikunmanchu	La prohibición de revivir procesos fenecidos con resolución ejecutoriada
Hucha panpachay qonqay, wiñaypaq sayachiy hinaspa qolluchiy tukuy hayratasan	La amnistía, el indulto, el sobreseimiento definitivo y la prescripción producen los efectos de cosa juzgada
Ima pachapiña paqtachaykuynin kashiaspapas amachachikuymanta hark’asqaqa kanamanchu	El principio de no ser privado del derecho de defensa en ningún estado del proceso
Llapa runan willasqa kanan simipi utaq rimayllapi ima huchanpin wsq’asqa kasqanta	Toda persona será informada inmediatamente y por escrito de la causa o las razones de su detención
Allaukanmi huchallisqa pay kikin ajllasqan amachaqenwan rinaynin hinaspa yachachisqapas mayqen paqtachay kamayoq qesk’ayninta willasqanmanta pacha	Tiene derecho a comunicarse personalmente con un defensor de su elección y a ser asesorada por éste desde que es citada o detenida por cualquier autoridad
Llapa runan willasqa kanan simipi utaq rimayllapi ima huchanpin wsq’asqa kasqanta	El principio de que toda persona debe ser informada, inmediatamente y por escrito, de las causas o razones de su detención
Paqtay wasipi llakichisqa mana paqtachay ruwakunanpaq, mana kaqniyoq runakunapaqtaq mana qolqemanta, ichaqa hoq runakunapaqpas kamachiman hina	El principio de la gratuidad de la administración de justicia y de la defensa gratuita para las personas de escasos recursos; y, para todos, en los casos que la ley señala
Suyu runaq paqtachay kamayoq ajllay ruway yanapananpaq kamachiman hina	La participación popular en el nombramiento y en la revocación de magistrados, conforme a ley
Hatun Kamayoq ima atipanakuypi yanapananpaq ichaqa paqtay kamayoq kayninman hina	La obligación del Poder Ejecutivo de prestar la colaboración que en los procesos le sea requerida
Manan mana yachaq runa paqtachaqqa kanamanchu sichus mana Atún kamay pirwaman hina mana kamachasqa kaqqa	La prohibición de ejercer función judicial por quien no ha sido nombrado en la forma prevista por la Constitución o la ley
Paqtachay wasikunaqa mana ima llank’aytapas qonkumanchu, ichaqa huchallisqan hinapiqa kankuman	Los órganos jurisdiccionales no pueden darle posesión del cargo, bajo responsabilidad
Lliu runa atiyninman paqtachay kamachikunata tukuy yuyayniwan rikuyta hinaspa t’aqwispa mana allin kaqtinpas rimayta	El principio del derecho de toda persona de formular análisis y críticas de las resoluciones y sentencias judiciales, con las limitaciones de ley
Hayratasqakunapas, wesk’asqasqakunapas, qhali kayta hinaspapas allin wesk’ay wasikunapi apisqa kayninkuta	El derecho de los reclusos y sentenciados de ocupar establecimientos adecuados
Wesk’asqa wasipi wesk’asqakuna yapamanta yacharispa allin runa kayninman tukuyninman huñusqa runamasinwan kausayninman	El principio de que el régimen penitenciario tiene por objeto la reeducación, rehabilitación y reincorporación del penado a la sociedad
Huchallisqa Wiñuchiy	Pena de muerte
Wañuchikuy hayrataqa suyupi q’eta kayllapin churakun, hawa llaqtakunawan maqanakuy kallaqtin, ukhu suyupi q’aqchaq runaman, kamachiman hina hinaspa hawa llaqtakunawan rimay qelqakunaman Perú llaqta mat’isqa kasqanman hina	La pena de muerte sólo puede aplicarse por el delito de traición a la Patria en caso de guerra, y el de terrorismo, conforme a las leyes y a los tratados de los que el Perú es parte obligada
Paqtachakuy Ancha Hanaq Wasin p’unchukaypiqa kamachikunan, utaq qolluchikunanpas kamachikuyta apusiminwan sichus maqanakuy qallarikunman karan hanaqpaqtay t’aqapi, utaq kikin Ancha Hanaq Wasipikamachiman hina	Corresponde a la Corte Suprema fallar en casación, o en última instancia, cuando la acción se inicia en una Corte Superior o ante la propia Corte Suprema conforme a ley
Atillantaqmi p’unchukaypi kamachiyta utaq qolluchiytapas wallawisa paqtay k’itikunapi, icha 173 ñeqe kamachiman hina	Asimismo, conoce en casación las resoluciones del Fuero Militar, con las limitaciones que establece el artículo 173
Paqtachay Kamachikuna mana rikuy atiy	Resoluciones no revisables por el Poder Judicial
Ajllaypaq Ancha Hanaq Wasin paqtayninkuna Paqtay Wasipi mana atikunchu rikuyta, manallataq atikullantaqchu paqtachaypaq Hatun Wasi ruwasqantapas rikuyta, Paqtachay Kamayoq ajllasqankutapas hinaspa orqosqankutapas utaq hap’isqankutapas	No son revisables en sede judicial las resoluciones del Jurado Nacional de Elecciones en materia electoral, ni las del Consejo Nacional de la Magistratura en materia de evaluación y ratificación de jueces
Paqtachay Wasikuna	Órganos Jurisdiccionales
Paqtachaq kallpanpiqa kanmi paqtachay wasi paqtachay ruwaqkuna, paykunan suyuq sutinmi paqtachayta ruwanku	El Poder Judicial está integrado por órganos jurisdiccionales que administran justicia en nombre de la Nación, y por órganos que ejercen su gobierno y administración
Paqtachay wasikunaqa kanku Ancha Hanaq Wasi, hinaspa wakin paqtay wasikunapas ukhunpi kamachiyninman hina	Los órganos jurisdiccionales son la Corte Suprema de Justicia y las demás cortes y juzgados que determine su ley orgánica
